demo-sample	PASS	npm run test:web -- --grep @claim:demo-sample
demo-privacy	PASS	npm run test:web -- --grep @claim:demo-privacy
demo-bundled-data	PASS	npm run test:web -- --grep @claim:demo-bundled-data
website-demo-storage	PASS	npm run test:web -- --grep @claim:website-demo-storage
website-privacy	PASS	npm run test:web -- --grep @claim:website-privacy
offline-demo	PASS	npm run test:web -- --grep @claim:offline-demo
site-updates	PASS	npm run test:web -- --grep @claim:site-updates
desktop-sample	PASS	npm run test:app-web -- --grep @claim:desktop-sample
demo-mode-isolation	PASS	npm run test:app-web -- --grep @claim:demo-mode-isolation
free-voice-speed	PASS	npm run test:app-web -- --grep @claim:free-voice-speed
desktop-shortcuts	PASS	npm run test:app-web -- --grep @claim:desktop-shortcuts
screen-reader-announcements	PASS	npm run test:app-web -- --grep @claim:screen-reader-announcements
blank-find	PASS	npm run test:app-web -- --grep @claim:blank-find
ocr-uncertainty	PASS	npm run test:app-web -- --grep @claim:ocr-uncertainty
local-processing	PASS	npm run test:shared -- -t @claim:local-processing
selected-window	PASS	npm run test:shared -- -t @claim:selected-window
capture-discarded	PASS	npm run test:shared -- -t @claim:capture-discarded
guidance-only	PASS	npm run test:app-web -- --grep @claim:guidance-only
no-account-required	PASS	npm run test:app-web -- --grep @claim:no-account-required
sample-keyboard-five-labels	PASS	npm run test:app-web -- --grep @claim:sample-keyboard-five-labels
release-metadata-cache	PASS	npm run test:web -- --grep @claim:release-metadata-cache
release-metadata-fallback	PASS	npm run test:web -- --grep @claim:release-metadata-fallback
unknown-route-404	PASS	npm run test:web -- --grep @claim:unknown-route-404
release-assets	PASS	VERIFY_PUBLISHED_RELEASE=1 npm run test:shared -- -t @claim:release-assets
package-signatures	PASS	VERIFY_PUBLISHED_RELEASE=1 npm run test:shared -- -t @claim:package-signatures
checksum-installers	PASS	VERIFY_PUBLISHED_RELEASE=1 npm run test:shared -- -t @claim:checksum-installers
dependency-licenses	PASS	npm run test:shared -- -t @claim:dependency-licenses
image-provenance	PASS	npm run test:shared -- -t @claim:image-provenance
